hotel_id,city,check_in,check_out,breakfast_0_1,accommadation_type,distance_km,Sustain_cert,reviews_0_10,nr_reviews,Price_euro
189,Berlin,2/5/2025,2/6/2025,0,Hostel,4.1,0,9,294,34
190,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,1.8,0,8.6,883,172
191,Berlin,2/5/2025,2/6/2025,0,Hotel,5.1,0,7.1,1729,158
192,Berlin,2/5/2025,2/6/2025,0,Hotel,4.1,0,7.8,2530,246
193,Berlin,2/5/2025,2/6/2025,0,Hotel,.9,1,8.6,7914,320
194,Berlin,2/5/2025,2/6/2025,0,Hotel,3.1,0,4.9,807,100
195,Berlin,2/5/2025,2/6/2025,0,Hotel,2.9,0,7.7,3389,248
196,Berlin,2/5/2025,2/6/2025,0,Hotel,11.8,0,7.1,498,69
197,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,10.9,0,8,578,176
198,Berlin,2/5/2025,2/6/2025,0,Hotel,3.4,1,8.6,1581,284
199,Berlin,2/5/2025,2/6/2025,0,Hotel,11.3,0,8.4,317,120
200,Berlin,2/5/2025,2/6/2025,0,Hotel,2.2,1,8.5,4200,197
201,Berlin,2/5/2025,2/6/2025,0,Hotel,3.5,0,8.9,467,285
202,Berlin,2/5/2025,2/6/2025,0,Hotel,5.1,0,8.4,1442,325
203,Berlin,2/5/2025,2/6/2025,0,Hotel,.8,1,8.800000000000001,7738,375
204,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,4.1,0,7.9,198,202
205,Berlin,2/5/2025,2/6/2025,0,Hotel,.9,1,8.4,6226,241
206,Berlin,2/5/2025,2/6/2025,0,Hostel,6.3,1,6.9,3863,16
207,Berlin,2/5/2025,2/6/2025,0,Hotel,3.2,1,8.699999999999999,2481,407
208,Berlin,2/5/2025,2/6/2025,0,Hotel,2.8,0,8.5,9255,374
209,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,3.5,0,7.7,1721,124
210,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,5.6,0,7.3,260,203
211,Berlin,2/5/2025,2/6/2025,0,Hotel,4.4,0,6.8,4270,131
212,Berlin,2/5/2025,2/6/2025,0,Hostel,5.1,0,7.8,3628,16
213,Berlin,2/5/2025,2/6/2025,0,Hotel,5.8,0,6.8,1224,117
214,Berlin,2/5/2025,2/6/2025,0,Hotel,3.9,0,8.6,1276,187
215,Berlin,2/5/2025,2/6/2025,0,Hotel,1.6,1,8.199999999999999,2826,167
216,Berlin,2/5/2025,2/6/2025,0,Hotel,3.1,0,9.300000000000001,622,390
217,Berlin,2/5/2025,2/6/2025,0,Hotel,4,1,8.5,823,352
218,Berlin,2/5/2025,2/6/2025,0,Hotel,1,1,8.5,8629,323
219,Berlin,2/5/2025,2/6/2025,0,Hotel,2.8,0,8.5,935,188
220,Berlin,2/5/2025,2/6/2025,0,Hotel,2.4,0,8.800000000000001,4206,445
221,Berlin,2/5/2025,2/6/2025,0,Pension,7.9,0,8.199999999999999,1142,85
222,Berlin,2/5/2025,2/6/2025,0,Pension,11.3,0,7.2,8,42
223,Berlin,2/5/2025,2/6/2025,0,Hotel,1.2,0,9.1,1548,267
224,Berlin,2/5/2025,2/6/2025,0,Hotel,4.3,0,8.1,1050,303
225,Berlin,2/5/2025,2/6/2025,0,Hotel,2.5,1,8.5,5678,427
226,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,6.3,0,9.1,91,284
227,Berlin,2/5/2025,2/6/2025,0,Hotel,9.800000000000001,0,7.8,1268,78
228,Berlin,2/5/2025,2/6/2025,0,Hotel,3.2,1,8.300000000000001,796,505
229,Berlin,2/5/2025,2/6/2025,0,Hotel,2.8,0,8.9,4262,408
230,Berlin,2/5/2025,2/6/2025,0,Hotel,4.1,1,8.199999999999999,5965,354
231,Berlin,2/5/2025,2/6/2025,0,Hotel,3.4,1,8.699999999999999,4381,549
232,Berlin,2/5/2025,2/6/2025,0,Hotel,1.3,1,8.5,9499,246
233,Berlin,2/5/2025,2/6/2025,0,Hotel,2.9,1,8.699999999999999,2281,546
234,Berlin,2/5/2025,2/6/2025,0,Hotel,.7,1,9.199999999999999,1176,500
235,Berlin,2/5/2025,2/6/2025,0,Hotel,9.6,0,8.4,2374,163
236,Berlin,2/5/2025,2/6/2025,0,Hotel,14.1,0,6.6,236,55
237,Berlin,2/5/2025,2/6/2025,0,Hotel,.8,1,9.1,1943,490
238,Berlin,2/5/2025,2/6/2025,0,Hotel,2.2,0,8.5,421,505
239,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,5.1,0,9.300000000000001,87,294
240,Berlin,2/5/2025,2/6/2025,0,Hotel,5.2,0,9.300000000000001,329,376
241,Berlin,2/5/2025,2/6/2025,0,Hotel,1,1,8.800000000000001,810,392
242,Berlin,2/5/2025,2/6/2025,0,Hotel,6.5,0,8.800000000000001,1601,389
243,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,26.9,0,8.6,138,145
244,Berlin,2/5/2025,2/6/2025,0,Hotel,9.800000000000001,0,7,1634,67
245,Berlin,2/5/2025,2/6/2025,0,Pension,5.1,0,7.2,570,40
246,Berlin,2/5/2025,2/6/2025,0,Hotel,1.2,1,8.9,360,551
247,Berlin,2/5/2025,2/6/2025,0,Hotel,2.3,1,8.5,2858,225
248,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,5.6,0,6.9,127,100
249,Berlin,2/5/2025,2/6/2025,0,Hotel,2.6,1,8.1,3346,142
250,Berlin,2/5/2025,2/6/2025,0,Hotel,1.7,0,8.5,2440,179
251,Berlin,2/5/2025,2/6/2025,0,Hotel,15.7,0,7.3,604,76
252,Berlin,2/5/2025,2/6/2025,0,Privatzimmer,6.8,0,8.199999999999999,4,38
253,Berlin,2/5/2025,2/6/2025,0,Hotel,9.4,0,8.1,1012,83
254,Berlin,2/5/2025,2/6/2025,1,Hotel,8.6,0,7,1075,88
255,Berlin,2/5/2025,2/6/2025,1,Pension,2.3,0,8.1,1479,90
256,Berlin,2/5/2025,2/6/2025,0,Hotel,5.9,0,8.300000000000001,1745,179
257,Berlin,2/5/2025,2/6/2025,0,Hotel,10.8,0,5.2,1575,62
258,Berlin,2/5/2025,2/6/2025,0,Hotel,1.3,1,8.300000000000001,6170,206
259,Berlin,2/5/2025,2/6/2025,0,Hotel,17.4,0,7.7,2309,81
260,Berlin,2/5/2025,2/6/2025,0,Hotel,1.5,0,8.800000000000001,8453,212
261,Berlin,2/5/2025,2/6/2025,0,Hotel,6.4,0,8.1,585,77
262,Berlin,2/5/2025,2/6/2025,0,Hotel,.8,0,8.300000000000001,3132,174
263,Berlin,2/5/2025,2/6/2025,0,Hotel,1.9,0,8.199999999999999,7357,169
264,Berlin,2/5/2025,2/6/2025,0,Pension,2,0,6.5,930,83
265,Berlin,2/5/2025,2/6/2025,1,Hotel,5.5,0,7.6,1188,149
266,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,4.6,0,7.3,136,103
267,Berlin,2/5/2025,2/6/2025,0,Hotel,2.7,1,8.1,4976,199
268,Berlin,2/5/2025,2/6/2025,0,Hotel,2.4,0,8.5,1113,229
269,Berlin,2/5/2025,2/6/2025,0,Hotel,4.1,0,7.8,6872,23
270,Berlin,2/5/2025,2/6/2025,0,Hotel,4,0,7,2296,160
271,Berlin,2/5/2025,2/6/2025,0,Hotel,8.5,0,7.5,2082,96
272,Berlin,2/5/2025,2/6/2025,0,Hotel,5.4,1,8.1,4150,214
273,Berlin,2/5/2025,2/6/2025,0,Hotel,1.6,1,8.199999999999999,5039,169
274,Berlin,2/5/2025,2/6/2025,0,Pension,4,0,8.4,352,129
275,Berlin,2/5/2025,2/6/2025,0,Hotel,1.5,0,9,1277,172
276,Berlin,2/5/2025,2/6/2025,0,Pension,4.2,0,7.7,673,85
277,Berlin,2/5/2025,2/6/2025,0,Hotel,.8,0,8.199999999999999,3302,185
278,Berlin,2/5/2025,2/6/2025,0,Hotel,2.4,1,8,915,145
279,Berlin,2/5/2025,2/6/2025,0,Hotel,2.8,1,7.7,2699,126
280,Berlin,2/5/2025,2/6/2025,0,Aparthotel,2.5,0,8.800000000000001,1100,134
281,Berlin,2/5/2025,2/6/2025,0,Hotel,3.6,0,8.6,1694,135
282,Berlin,2/5/2025,2/6/2025,0,Hotel,10.5,0,8,843,120
283,Berlin,2/5/2025,2/6/2025,0,Hotel,5.3,0,7.2,4502,21
284,Berlin,2/5/2025,2/6/2025,0,Hotel,2.8,0,6.5,903,138
285,Berlin,2/5/2025,2/6/2025,0,Hotel,12,0,8.300000000000001,430,118
286,Berlin,2/5/2025,2/6/2025,0,Aparthotel,2.6,0,8.5,2172,180
287,Berlin,2/5/2025,2/6/2025,0,Pension,14.6,0,8.800000000000001,163,91
288,Berlin,2/5/2025,2/6/2025,0,Hotel,7.7,0,8.9,108,122
289,Berlin,2/5/2025,2/6/2025,0,Hostel,1.4,0,7.4,6638,11
290,Berlin,2/5/2025,2/6/2025,0,Hotel,12,0,7.9,1026,133
291,Berlin,2/5/2025,2/6/2025,0,Hotel,2.1,1,8.4,5154,179
292,Berlin,2/5/2025,2/6/2025,0,Aparthotel,2.7,0,8.5,677,177
293,Berlin,2/5/2025,2/6/2025,0,Hotel,5.3,1,7.8,1848,157
294,Berlin,2/5/2025,2/6/2025,0,Hotel,8.199999999999999,0,6.6,683,85
295,Berlin,2/5/2025,2/6/2025,0,Hotel,3.3,0,8.199999999999999,1180,21
296,Berlin,2/5/2025,2/6/2025,0,Hotel,1.4,1,8.699999999999999,4308,189
297,Berlin,2/5/2025,2/6/2025,1,Hotel,10,0,6.4,1460,90
298,Berlin,2/5/2025,2/6/2025,0,Hotel,4.7,0,8.199999999999999,2211,24
299,Berlin,2/5/2025,2/6/2025,0,Hotel,3,0,7.4,976,165
300,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,2.2,0,6.6,251,81
301,Berlin,2/5/2025,2/6/2025,0,Hotel,1.7,0,8.4,2063,183
302,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,2.2,0,6.3,128,87
303,Berlin,2/5/2025,2/6/2025,0,Hotel,9.9,0,7.9,3063,172
304,Berlin,2/5/2025,2/6/2025,0,Hotel,11.4,0,8,2363,159
305,Berlin,2/5/2025,2/6/2025,0,Hotel,4.9,0,8.1,2164,173
306,Berlin,2/5/2025,2/6/2025,1,Hotel,6.2,0,8.1,1214,139
307,Berlin,2/5/2025,2/6/2025,0,Hotel,2.2,1,8.6,8152,239
308,Berlin,2/5/2025,2/6/2025,1,Hotel,6.8,0,8.199999999999999,1308,155
309,Berlin,2/5/2025,2/6/2025,0,Hotel,7.1,0,6.5,930,117
310,Berlin,2/5/2025,2/6/2025,0,Hotel,4.8,0,8.1,724,125
311,Berlin,2/5/2025,2/6/2025,0,Privatzimmer,3.4,0,7.6,24,74
312,Berlin,2/5/2025,2/6/2025,0,Aparthotel,6.9,0,6.9,530,118
313,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,4,0,7.1,946,114
314,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,17.8,0,9.300000000000001,31,151
315,Berlin,2/5/2025,2/6/2025,0,Hotel,2.3,1,6.6,2486,171
316,Berlin,2/5/2025,2/6/2025,0,Hotel,3.2,0,7.4,7381,161
